,ID_Output,No,Date,WH,SalesOrder,Customer,OrderType,Vehicle,Vendor,LoadingCode,BoardName_x,CodeTOB,Category1,Category2,Unit,Qty_pt,spp_x,Qty_pcs,PcsArea,Qty_sqm,Detail,Remark,ID_BIB,BoardCode,TOB,Thick,Width,Length,spp_y,BoardName_y,BoardStockBase,BaseDate,MarketGroup,Level,BoardType,Invt_out_pcs,Invt_out_sqm,Invt_out_pt,Date2,Month,WeekOfYear,Quarter,Year
2383,219854,332,2024-01-02,G15,SO24001,Xây dựng Viễn Đông,Sale,40,CMI,XKTP-240102-01,SD-9*1220*1830,SD090C,SD 9mm (Lv 1) ,SD 9mm,Pcs,17.0,120.0,2040.0,2.2326,,,,4304.0,SD090C,SD,9.0,1220.0,1830.0,120.0,SD 9X1220X1830,11880.0,2024-01-01,Vietnam,LV_1,SD_Viet,13920.0,31077.792,116.0,2024-01-02,1,1,1,2024
2384,219855,333,2024-01-02,,SO24001,Xây dựng Viễn Đông,Sale,,,XKTP-240102-01,FR-15.9*1220*1830,FR159C,FR 15.9mm Lv 1 (1830),FR 15.9mm,Pcs,0.0,50.0,10.0,2.2326,,,,4314.0,FR159C,FR,15.9,1220.0,1830.0,50.0,FR 15.9X1220X1830,1900.0,2024-01-01,Vietnam,LV_1,FR_Viet,1910.0,4264.2660000000005,38.2,2024-01-02,1,1,1,2024
2385,219856,334,2024-01-02,G9,PO-DYMS-2311-02,Dongyeung,Sale,40,Kukdong,XKTP-240102-02,SD-9.5*900*1800,SD095E,KS SD 9.5mm (Lv 1),SD 9.5mm,Pcs,24.0,120.0,2880.0,1.62,,,,4297.0,SD095E,SD,9.5,900.0,1800.0,120.0,SD 9.5X900X1800,74520.0,2024-01-01,Korea,LV_1,SD_Korea,77400.0,125388.00000000001,645.0,2024-01-02,1,1,1,2024
2386,219857,335,2024-01-02,G9,PO-DYMS-2311-02,Dongyeung,Sale,40,Kukdong,XKTP-240102-03,SD-9.5*900*1800,SD095E,KS SD 9.5mm (Lv 1),SD 9.5mm,Pcs,24.0,120.0,2880.0,1.62,,,,4297.0,SD095E,SD,9.5,900.0,1800.0,120.0,SD 9.5X900X1800,74520.0,2024-01-01,Korea,LV_1,SD_Korea,77400.0,125388.00000000001,645.0,2024-01-02,1,1,1,2024
2387,219858,336,2024-01-02,G9,PO-DYMS-2311-02,Dongyeung,Sale,40,Kukdong,XKTP-240102-04,SD-9.5*900*1800,SD095E,KS SD 9.5mm (Lv 1),SD 9.5mm,Pcs,24.0,120.0,2880.0,1.62,,,,4297.0,SD095E,SD,9.5,900.0,1800.0,120.0,SD 9.5X900X1800,74520.0,2024-01-01,Korea,LV_1,SD_Korea,77400.0,125388.00000000001,645.0,2024-01-02,1,1,1,2024
2388,219859,337,2024-01-02,G9,PO-DYMS-2311-02,Dongyeung,Sale,40,Kukdong,XKTP-240102-05,SD-9.5*900*1800,SD095E,KS SD 9.5mm (Lv 1),SD 9.5mm,Pcs,24.0,120.0,2880.0,1.62,,,,4297.0,SD095E,SD,9.5,900.0,1800.0,120.0,SD 9.5X900X1800,74520.0,2024-01-01,Korea,LV_1,SD_Korea,77400.0,125388.00000000001,645.0,2024-01-02,1,1,1,2024
2389,219860,338,2024-01-02,G9,PO-DYMS-2311-02,Dongyeung,Sale,40,Kukdong,XKTP-240102-06,SD-9.5*900*1800,SD095E,KS SD 9.5mm (Lv 1),SD 9.5mm,Pcs,24.0,120.0,2880.0,1.62,,,,4297.0,SD095E,SD,9.5,900.0,1800.0,120.0,SD 9.5X900X1800,74520.0,2024-01-01,Korea,LV_1,SD_Korea,77400.0,125388.00000000001,645.0,2024-01-02,1,1,1,2024
2390,219861,339,2024-01-02,G9,PO-DYMS-2311-02,Dongyeung,Sale,40,Kukdong,XKTP-240102-07,SD-9.5*900*1800,SD095E,KS SD 9.5mm (Lv 1),SD 9.5mm,Pcs,24.0,120.0,2880.0,1.62,,,,4297.0,SD095E,SD,9.5,900.0,1800.0,120.0,SD 9.5X900X1800,74520.0,2024-01-01,Korea,LV_1,SD_Korea,77400.0,125388.00000000001,645.0,2024-01-02,1,1,1,2024
2391,219862,340,2024-01-02,G9,PO-DYMS-2311-02,Dongyeung,Sale,40,Kukdong,XKTP-240102-08,SD-9.5*900*1800,SD095E,KS SD 9.5mm (Lv 1),SD 9.5mm,Pcs,24.0,120.0,2880.0,1.62,,,,4297.0,SD095E,SD,9.5,900.0,1800.0,120.0,SD 9.5X900X1800,74520.0,2024-01-01,Korea,LV_1,SD_Korea,77400.0,125388.00000000001,645.0,2024-01-02,1,1,1,2024
2392,219863,341,2024-01-02,G9,PO-DYMS-2311-02,Dongyeung,Sale,40,Kukdong,XKTP-240102-09,SD-9.5*900*1800,SD095E,KS SD 9.5mm (Lv 1),SD 9.5mm,Pcs,24.0,120.0,2880.0,1.62,,,,4297.0,SD095E,SD,9.5,900.0,1800.0,120.0,SD 9.5X900X1800,74520.0,2024-01-01,Korea,LV_1,SD_Korea,77400.0,125388.00000000001,645.0,2024-01-02,1,1,1,2024
