,ID_Output,No,Date,WH,SalesOrder,Customer,OrderType,Vehicle,Vendor,LoadingCode,BoardName,CodeTOB,Category1,Category2,Unit,Qty_pt,spp,Qty_pcs,PcsArea,Qty_sqm,Detail,Remark
0,217471,1,2023-01-03,,SO-0312797479-23-001,J&J,Sale,Trailer,,XKTP-230103-01,SD - 9 x 1830 x 1220,SD090C,SD 9mm (Lv 1) ,SD 9mm,Pcs,5.0,120.0,600.0,2.2326,1339.56,,
1,217472,2,2023-01-03,,SO-0312797479-23-001,J&J,Sale,Trailer,,XKTP-230103-01,SD - 9 x 1830 x 1220,SD090C,SD 9mm (Lv 1) ,SD 9mm,Pcs,6.0,120.0,720.0,2.2326,1607.47,,
2,217473,3,2023-01-03,,SO-0312797479-23-001,J&J,Sale,Trailer,,XKTP-230103-01,MR - 9 x 1830 x 1220,MR090C,MR 9mm (Lv 1),MR 9mm,Pcs,11.0,102.0,1122.0,2.2326,2504.98,,
3,217474,4,2023-01-03,,SO-0314817459-23-001,Đăng Hưng,Sale,Trailer,,XKTP-230103-02,Cut 240 - 8 x 1208 x 603,SC080AX,Cut Board 8mm (SD) ,SD Cut 8mm,Pcs,36.0,240.0,8640.0,0.7284,6293.38,,
4,217475,5,2023-01-04,,SO-0312797479-23-001,J&J,Sale,Trailer,,XKTP-230104-02,SL - 8 x 2420 x 1210,SL080D,Long 8mm (Lv 1) ,SD 8mm Long,Pcs,17.0,130.0,2210.0,2.9282,6471.32,,
5,217476,6,2023-01-04,,SO-0312797479-23-001,J&J,Sale,Trailer,,XKTP-230104-02,SDB - 9 x 1830 x 1220,SDB090C,SD 9mm (Lv 3),SDB 9mm,Pcs,0.25,120.0,30.0,2.2326,66.978,Khách lấy lẻ 30 tấm.,
6,217477,7,2023-01-04,,SO-0314817459-23-001,Đăng Hưng,Sale,Trailer,,XKTP-230104-01,SD - 9 x 1830 x 1220,SD090C,SD 9mm (Lv 1) ,SD 9mm,Pcs,14.0,120.0,1680.0,2.2326,3750.77,,
7,217478,8,2023-01-04,,SO-0314817459-23-001,Đăng Hưng,Sale,Trailer,,XKTP-230104-01,MR - 9 x 1830 x 1220,MR090C,MR 9mm (Lv 1),MR 9mm,Pcs,8.0,102.0,816.0,2.2326,1821.8,,
8,217479,9,2023-01-05,,SO-3801203550-23-001,Thạch Cao Bình Phước,Sale,Trailer,,XKTP-230105-01,Cut 240 - 8 x 1208 x 603,SC080AX,Cut Board 8mm (SD) ,SD Cut 8mm,Pcs,36.0,240.0,8640.0,0.7284,6293.38,,
9,217480,10,2023-01-05,,SO-0314292145-23-001,XDKTTM Cường Thịnh,Sale,Truck,,XKTP-230105-02,SDA - 9 x 1830 x 1220,SDA090C,SD 9mm (Lv 2),SDA 9mm,Pcs,3.0,120.0,360.0,2.2326,803.736,,
10,217481,11,2023-01-06,,SO-0312797479-23-001,J&J,Sale,Trailer,,XKTP-230106-01,SD - 9 x 1830 x 1220,SD090C,SD 9mm (Lv 1) ,SD 9mm,Pcs,3.0,120.0,360.0,2.2326,803.736,,
11,217482,12,2023-01-06,,SO-0312797479-23-001,J&J,Sale,Trailer,,XKTP-230106-01,SD - 9 x 1830 x 1220,SD090C,SD 9mm (Lv 1) ,SD 9mm,Pcs,8.0,120.0,960.0,2.2326,2143.3,,
12,217483,13,2023-01-06,,SO-0312797479-23-001,J&J,Sale,Trailer,,XKTP-230106-01,MR - 9 x 1830 x 1220,MR090C,MR 9mm (Lv 1),MR 9mm,Pcs,11.0,102.0,1122.0,2.2326,2504.98,,
13,217484,14,2023-01-07,,SO-0107850722-23-001,H&H Vina,Sale,Trailer,TMS,XKTP-230107-01,SD - 12.5 x 1830 x 1220,SD125C,SD 12.5mm (Lv 1) ,SD 12.5mm,Pcs,18.0,80.0,1440.0,2.2326,3214.94,,
14,217485,15,2023-01-07,,SO-0107850722-23-001,H&H Vina,Sale,Trailer,TMS,XKTP-230107-02,SD - 12.5 x 1830 x 1220,SD125C,SD 12.5mm (Lv 1) ,SD 12.5mm,Pcs,18.0,80.0,1440.0,2.2326,3214.94,,
15,217486,16,2023-01-07,,SO-0314292145-23-002,XDKTTM Cường Thịnh,Sale,Truck,,XKTP-230107-03,SDA - 9 x 1830 x 1220,SDA090C,SD 9mm (Lv 2),SDA 9mm,Pcs,2.0,120.0,240.0,2.2326,535.824,,
16,217487,17,2023-01-10,,SO-1101886890-23-001,Vạn Phát Hưng,Sale,Trailer,,XKTP-230110-01,Cut 240 - 8 x 1208 x 603,SC080AX,Cut Board 8mm (SD) ,SD Cut 8mm,Pcs,36.0,240.0,8640.0,0.7284,6293.38,,
17,217488,18,2023-01-10,,SO-1101886890-23-001,Vạn Phát Hưng,Sale,Trailer,,XKTP-230110-02,Cut 240 - 8 x 1208 x 603,SC080AX,Cut Board 8mm (SD) ,SD Cut 8mm,Pcs,36.0,240.0,8640.0,0.7284,6293.38,,
18,217489,19,2023-01-13,,,,Sample,Training,,XKNB-2023-006,SDA - 9 x 1830 x 1220,SDA090C,SD 9mm (Lv 2),SDA 9mm,Pcs,1.0,120.0,120.0,2.2326,267.912,Xuất kho để Sale Đào tạo cho Công nhân nhà máy,
19,217490,20,2023-01-18,,,LX Hausys,Sample,40ft,Han,XKTP-230118-01,SD - 9.5 x 1800 x 900,SD095E,KS SD 9.5mm (Lv 1),SD 9.5mm,Pcs,24.0,120.0,2880.0,1.62,4665.6,Xuất mẫu đi Hàn Quốc (Taehwoan Choi),
20,217491,21,2023-01-18,,,Eugene ,Sample,40ft,Han,XKTP-230118-02,SD - 9.5 x 1800 x 900,SD095E,KS SD 9.5mm (Lv 1),SD 9.5mm,Pcs,24.0,120.0,2880.0,1.62,4665.6,Xuất mẫu đi Hàn Quốc (Kim Byoung Seok),
21,217492,22,2023-01-31,,SO-1102023262-23-001,VLXD Đệ Nhất,Sale,Trailer,,XKTP-230131-01,SL - 8 x 2420 x 1210,SL080D,Long 8mm (Lv 1) ,SD 8mm Long,Pcs,17.0,130.0,2210.0,2.9282,6471.32,,
22,217493,23,2023-02-01,,SO-1102023262-23-001,VLXD Đệ Nhất,Sale,Trailer,,XKTP-230201-01,SL - 8 x 2420 x 1210,SL080D,Long 8mm (Lv 1) ,SD 8mm Long,Pcs,13.0,130.0,1690.0,2.9282,4948.66,,
23,217494,24,2023-02-01,,SO-1102023262-23-002,VLXD Đệ Nhất,Sale,Trailer,,XKTP-230201-01,SD - 9 x 1830 x 1220,SD090C,SD 9mm (Lv 1) ,SD 9mm,Pcs,4.0,120.0,480.0,2.2326,1071.65,Xuất có 2 pallet khác màu giấy,
24,217495,25,2023-02-01,,SO-1102023262-23-003,VLXD Đệ Nhất,Sale,Trailer,,XKTP-230201-03,SL - 8 x 2420 x 1210,SL080D,Long 8mm (Lv 1) ,SD 8mm Long,Pcs,17.0,130.0,2210.0,2.9282,6471.32,,
25,217496,26,2023-02-01,,SO-3703101889-23-001,Thạch Cao Suối Giữa,Sale,Trailer,,XKTP-230201-02,SD - 9 x 1830 x 1220,SD090C,SD 9mm (Lv 1) ,SD 9mm,Pcs,12.0,120.0,1440.0,2.2326,3214.94,,
26,217497,27,2023-02-01,,SO-3703101889-23-001,Thạch Cao Suối Giữa,Sale,Trailer,,XKTP-230201-02,Cut 240 - 8 x 1208 x 603,SC080AX,Cut Board 8mm (SD) ,SD Cut 8mm,Pcs,16.0,240.0,3840.0,0.7284,2797.06,,
27,217498,28,2023-02-02,,SO-0312797479-23-002,J&J,Sale,Trailer,,XKTP-230202-01,SDB - 9 x 1830 x 1220,SDB090C,SD 9mm (Lv 3),SDB 9mm,Pcs,21.0,120.0,2520.0,2.2326,5626.15,,
28,217499,29,2023-02-02,,SO-1201663104-23-001,Thơ Thành Phát,Sale,Trailer,,XKTP-230202-02,SD - 9 x 1830 x 1220,SD090C,SD 9mm (Lv 1) ,SD 9mm,Pcs,21.0,120.0,2520.0,2.2326,5626.15,,
29,217500,30,2023-02-02,,SO-0107850722-23-002,H&H Vina,Sale,40ft,TMS,XKTP-230202-03,SD - 9 x 1830 x 1220,SD090C,SD 9mm (Lv 1) ,SD 9mm,Pcs,17.0,120.0,2040.0,2.2326,4554.5,,
30,217501,31,2023-02-02,,SO-0107850722-23-002,H&H Vina,Sale,40ft,TMS,XKTP-230202-04,SD - 9 x 1830 x 1220,SD090C,SD 9mm (Lv 1) ,SD 9mm,Pcs,17.0,120.0,2040.0,2.2326,4554.5,,
31,217502,32,2023-02-02,,SO-0314817459-23-002,Đăng Hưng,Sale,Trailer,,XKTP-230202-05,Cut 240 - 8 x 1208 x 603,SC080AX,Cut Board 8mm (SD) ,SD Cut 8mm,Pcs,36.0,240.0,8640.0,0.7284,6293.38,,
32,217503,33,2023-02-03,,SO-0312797479-23-003,J&J,Sale,Trailer,,XKTP-230203-01,SL - 8 x 2420 x 1210,SL080D,Long 8mm (Lv 1) ,SD 8mm Long,Pcs,17.0,130.0,2210.0,2.9282,6471.32,,
33,217504,34,2023-02-03,,SO-0314817459-23-002,Đăng Hưng,Sale,Trailer,,XKTP-230203-02,SD - 9 x 1830 x 1220,SD090C,SD 9mm (Lv 1) ,SD 9mm,Pcs,16.0,120.0,1920.0,2.2326,4286.59,,
34,217505,35,2023-02-03,,SO-0314817459-23-002,Đăng Hưng,Sale,Trailer,,XKTP-230203-02,MR - 9 x 1830 x 1220,MR090C,MR 9mm (Lv 1),MR 9mm,Pcs,6.0,102.0,612.0,2.2326,1366.35,,
