,ID_Output,No,Date,WH,SalesOrder,Customer,OrderType,Vehicle,Vendor,LoadingCode,BoardName_x,CodeTOB,Category1,Category2,Unit,Qty_pt,spp_x,Qty_pcs,PcsArea,Qty_sqm,Detail,Remark,ID_BIB,BoardCode,TOB,Thick,Width,Length,spp_y,BoardName_y,BoardStockBase,BaseDate,MarketGroup,Level,BoardType,Date2,Month,WeekOfYear,Quarter,Year
0,217471,1,2023-01-03,,SO-0312797479-23-001,J&J,Sale,Trailer,,XKTP-230103-01,SD - 9 x 1830 x 1220,SD090C,SD 9mm (Lv 1) ,SD 9mm,Pcs,5.0,120.0,600.0,2.2326,1339.56,,,4304.0,SD090C,SD,9.0,1220.0,1830.0,120.0,SD 9X1220X1830,11880.0,2024-01-01,Vietnam,LV_1,SD_Viet,2023-01-03,1,1,1,2023
1,217472,2,2023-01-03,,SO-0312797479-23-001,J&J,Sale,Trailer,,XKTP-230103-01,SD - 9 x 1830 x 1220,SD090C,SD 9mm (Lv 1) ,SD 9mm,Pcs,6.0,120.0,720.0,2.2326,1607.47,,,4304.0,SD090C,SD,9.0,1220.0,1830.0,120.0,SD 9X1220X1830,11880.0,2024-01-01,Vietnam,LV_1,SD_Viet,2023-01-03,1,1,1,2023
2,217473,3,2023-01-03,,SO-0312797479-23-001,J&J,Sale,Trailer,,XKTP-230103-01,MR - 9 x 1830 x 1220,MR090C,MR 9mm (Lv 1),MR 9mm,Pcs,11.0,102.0,1122.0,2.2326,2504.98,,,4309.0,MR090C,MR,9.0,1220.0,1830.0,102.0,MR 9X1220X1830,1632.0,2024-01-01,Vietnam,LV_1,MR_Viet,2023-01-03,1,1,1,2023
3,217474,4,2023-01-03,,SO-0314817459-23-001,Đăng Hưng,Sale,Trailer,,XKTP-230103-02,Cut 240 - 8 x 1208 x 603,SC080AX,Cut Board 8mm (SD) ,SD Cut 8mm,Pcs,36.0,240.0,8640.0,0.7284,6293.38,,,4336.0,SC080AX,SC,8.0,603.0,1208.0,240.0,SC 8X603X1208,8640.0,2024-01-01,Vietnam,Cut,Cut_Viet,2023-01-03,1,1,1,2023
4,217475,5,2023-01-04,,SO-0312797479-23-001,J&J,Sale,Trailer,,XKTP-230104-02,SL - 8 x 2420 x 1210,SL080D,Long 8mm (Lv 1) ,SD 8mm Long,Pcs,17.0,130.0,2210.0,2.9282,6471.32,,,4303.0,SL080D,SL,8.0,1210.0,2420.0,130.0,SL 8X1210X2420,10920.0,2024-01-01,Vietnam,LV_1,SD_Viet,2023-01-04,1,1,1,2023
5,217476,6,2023-01-04,,SO-0312797479-23-001,J&J,Sale,Trailer,,XKTP-230104-02,SDB - 9 x 1830 x 1220,SDB090C,SD 9mm (Lv 3),SDB 9mm,Pcs,0.25,120.0,30.0,2.2326,66.978,Khách lấy lẻ 30 tấm.,,4334.0,SDB090C,SDB,9.0,1220.0,1830.0,120.0,SDB 9X1220X1830,5970.0,2024-01-01,Vietnam,LV_3,SD_Viet,2023-01-04,1,1,1,2023
6,217477,7,2023-01-04,,SO-0314817459-23-001,Đăng Hưng,Sale,Trailer,,XKTP-230104-01,SD - 9 x 1830 x 1220,SD090C,SD 9mm (Lv 1) ,SD 9mm,Pcs,14.0,120.0,1680.0,2.2326,3750.77,,,4304.0,SD090C,SD,9.0,1220.0,1830.0,120.0,SD 9X1220X1830,11880.0,2024-01-01,Vietnam,LV_1,SD_Viet,2023-01-04,1,1,1,2023
7,217478,8,2023-01-04,,SO-0314817459-23-001,Đăng Hưng,Sale,Trailer,,XKTP-230104-01,MR - 9 x 1830 x 1220,MR090C,MR 9mm (Lv 1),MR 9mm,Pcs,8.0,102.0,816.0,2.2326,1821.8,,,4309.0,MR090C,MR,9.0,1220.0,1830.0,102.0,MR 9X1220X1830,1632.0,2024-01-01,Vietnam,LV_1,MR_Viet,2023-01-04,1,1,1,2023
8,217479,9,2023-01-05,,SO-3801203550-23-001,Thạch Cao Bình Phước,Sale,Trailer,,XKTP-230105-01,Cut 240 - 8 x 1208 x 603,SC080AX,Cut Board 8mm (SD) ,SD Cut 8mm,Pcs,36.0,240.0,8640.0,0.7284,6293.38,,,4336.0,SC080AX,SC,8.0,603.0,1208.0,240.0,SC 8X603X1208,8640.0,2024-01-01,Vietnam,Cut,Cut_Viet,2023-01-05,1,1,1,2023
9,217480,10,2023-01-05,,SO-0314292145-23-001,XDKTTM Cường Thịnh,Sale,Truck,,XKTP-230105-02,SDA - 9 x 1830 x 1220,SDA090C,SD 9mm (Lv 2),SDA 9mm,Pcs,3.0,120.0,360.0,2.2326,803.736,,,4323.0,SDA090C,SDA,9.0,1220.0,1830.0,120.0,SDA 9X1220X1830,3120.0,2024-01-01,Vietnam,LV_2,SD_Viet,2023-01-05,1,1,1,2023
